Date,Front_Contract,Front_Close,Front_High,Front_Low,Front_Open,Front_Volume,Front_OI,FV1_Contract,FV1_Close,FV1_High,FV1_Low,FV1_Open,FV1_Volume,FV1_OI
12/08/2017,FVZ17,116.59375,116.71875,116.5234375,116.5859375,18022,60002,FVH18,116.3671875,116.5,116.2734375,116.375,691477,2931835
12/11/2017,FVZ17,116.53125,116.703125,116.53125,116.6015625,7355,56023,FVH18,116.3046875,116.5078125,116.2890625,116.3828125,479651,2925310
12/12/2017,FVZ17,116.4765625,116.5625,116.4140625,116.546875,13913,48986,FVH18,116.2421875,116.34375,116.1796875,116.3125,725614,2964214
12/13/2017,FVZ17,116.7734375,116.7890625,116.3671875,116.5078125,10241,43550,FVH18,116.5625,116.59375,116.1015625,116.2421875,1119924,2993156
12/14/2017,FVZ17,116.6640625,116.734375,116.5703125,116.734375,13050,40674,FVH18,116.453125,116.59375,116.2890625,116.5859375,869591,2977974
12/15/2017,FVZ17,116.546875,116.6328125,116.4609375,116.6015625,15322,33226,FVH18,116.3203125,116.421875,116.21875,116.3984375,608748,2967099
12/18/2017,FVZ17,116.5234375,116.578125,116.453125,116.4609375,8001,26377,FVH18,116.296875,116.3671875,116.2109375,116.3046875,494291,2984240
12/19/2017,FVZ17,116.2890625,116.5,116.21875,116.5,4746,23139,FVH18,116.0546875,116.2890625,116.0,116.28125,732175,3023846
12/20/2017,FVZ17,116.2109375,116.3203125,116.1953125,116.3203125,2287,22874,FVH18,115.953125,116.125,115.921875,116.0625,718655,3034262
12/21/2017,FVZ17,116.1796875,116.21875,116.171875,116.21875,1572,23155,FVH18,115.9296875,116.0390625,115.8828125,115.953125,549217,3065989
12/22/2017,FVZ17,116.140625,116.1875,116.1328125,116.1640625,1168,23039,FVH18,115.890625,115.953125,115.8671875,115.9140625,260209,3068187
12/26/2017,FVZ17,116.2109375,116.24479166666667,116.1875,116.22916666666667,421,22660,FVH18,115.9609375,115.96875,115.84375,115.890625,213691,3071992
12/27/2017,FVZ17,116.375,116.375,116.2421875,116.29427083333333,769,21921,FVH18,116.140625,116.15625,115.9140625,115.9375,576545,3088106
12/28/2017,FVZ17,116.3046875,116.359375,116.296875,116.359375,2244,20239,FVH18,116.0703125,116.1328125,116.0234375,116.125,402987,3097124
12/29/2017,FVZ17,116.3671875,116.390625,116.359375,116.390625,907,1553062,FVH18,116.1640625,116.203125,116.0390625,116.0546875,462466,3082959
01/02/2018,FVH18,115.9765625,116.1484375,115.8984375,116.125,632157,3085886,FVM18,115.9140625,116.0859375,115.9140625,115.95870535714286,308311,2055306
01/03/2018,FVH18,115.984375,116.0859375,115.9375,115.9921875,582585,3072806,FVM18,115.828125,115.96875,115.828125,115.86272321428571,154157,1027654
01/04/2018,FVH18,115.8671875,115.9765625,115.75,115.96875,725726,3089228,FVM18,115.7109375,115.8515625,115.7109375,115.76674107142857,2,1
01/05/2018,FVH18,115.796875,116.0078125,115.765625,115.8671875,839547,3085018,FVM18,115.6015625,115.734375,115.6015625,115.67075892857143,1382,1057
01/08/2018,FVH18,115.7890625,115.8515625,115.734375,115.7734375,427273,3108824,FVM18,115.59375,115.6171875,115.52566964285714,115.57477678571429,234,1114
01/09/2018,FVH18,115.640625,115.828125,115.5859375,115.7890625,883077,3166521,FVM18,115.4375,115.5,115.42299107142857,115.47879464285714,47,1127
01/10/2018,FVH18,115.625,115.6640625,115.484375,115.6015625,1126065,3168341,FVM18,115.3984375,115.3984375,115.3203125,115.3828125,1899,2919
01/11/2018,FVH18,115.6796875,115.6953125,115.5625,115.609375,885080,3176227,FVM18,115.46875,115.46875,115.359375,115.359375,1171,3878
01/12/2018,FVH18,115.53125,115.6328125,115.3671875,115.6015625,992091,3193162,FVM18,115.3046875,115.328125,115.1640625,115.328125,2495,5610
01/16/2018,FVH18,115.5,115.625,115.4296875,115.5234375,909895,3188750,FVM18,115.28125,115.34375,115.28125,115.34375,1968,6792
01/17/2018,FVH18,115.3125,115.546875,115.2578125,115.5078125,892705,3192866,FVM18,115.078125,115.171875,115.078125,115.171875,1587,7823
01/18/2018,FVH18,115.265625,115.296875,115.1875,115.2578125,986137,3222964,FVM18,115.0,115.046875,114.96875,114.9921875,3620,9404
01/19/2018,FVH18,115.1484375,115.2734375,115.0625,115.2265625,882989,3245896,FVM18,114.8828125,114.9296875,114.8828125,114.9296875,2308,10536
01/22/2018,FVH18,115.0390625,115.171875,115.0,115.1171875,791637,3284579,FVM18,114.765625,114.828125,114.7578125,114.828125,644,10378
01/23/2018,FVH18,115.2265625,115.265625,115.046875,115.0859375,722931,3305862,FVM18,114.96875,114.9921875,114.890625,114.890625,1088,10843
01/24/2018,FVH18,115.125,115.2890625,115.1015625,115.2578125,996064,3329082,FVM18,114.8671875,114.8828125,114.84375,114.84375,999,11044
